Dataset,Model,Accuracy,F1 Score,Best Params,
Dataset_1,DecisionTree,1.0000 ± 0.0000,1.0000 ± 0.0000,"{'max_depth': None, 'min_samples_split': 2}",
Dataset_1,KNN,0.9854 ± 0.0044,0.8487 ± 0.1244,"{'n_neighbors': 3, 'weights': 'distance'}",
Dataset_1,MLP,0.9905 ± 0.0048,0.9613 ± 0.0761,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}",
Dataset_1,RandomForest,0.9996 ± 0.0007,0.9995 ± 0.0008,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",
Dataset_1,SVM,0.9728 ± 0.0061,0.8783 ± 0.1111,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",
Dataset_2,DecisionTree,0.9587 ± 0.0057,0.5999 ± 0.0548,"{'max_depth': 20, 'min_samples_split': 2}",
Dataset_2,KNN,0.9547 ± 0.0065,0.6022 ± 0.0378,"{'n_neighbors': 3, 'weights': 'distance'}",
Dataset_2,MLP,0.9510 ± 0.0072,0.5458 ± 0.0442,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}",
Dataset_2,RandomForest,0.9611 ± 0.0061,0.6149 ± 0.0378,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",
Dataset_2,SVM,0.9443 ± 0.0088,0.4966 ± 0.0375,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",
Dataset_3,DecisionTree,0.8883 ± 0.0094,0.5770 ± 0.0223,"{'max_depth': None, 'min_samples_split': 10}",
Dataset_3,KNN,0.8908 ± 0.0084,0.5919 ± 0.0195,"{'n_neighbors': 3, 'weights': 'distance'}",
Dataset_3,MLP,0.8930 ± 0.0107,0.5705 ± 0.0247,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}",
Dataset_3,RandomForest,0.8950 ± 0.0076,0.5933 ± 0.0261,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",
Dataset_3,SVM,0.8840 ± 0.0084,0.5416 ± 0.0142,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",
Dataset_4,DecisionTree,0.8678 ± 0.0155,0.5174 ± 0.0384,"{'max_depth': None, 'min_samples_split': 2}",
Dataset_4,KNN,0.8619 ± 0.0132,0.4836 ± 0.0251,"{'n_neighbors': 3, 'weights': 'uniform'}",
Dataset_4,MLP,0.8639 ± 0.0137,0.4778 ± 0.0457,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}",
Dataset_4,RandomForest,0.8707 ± 0.0132,0.5079 ± 0.0266,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",
Dataset_4,SVM,0.8635 ± 0.0129,0.4465 ± 0.0287,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",
Dataset_5,DecisionTree,0.9999 ± 0.0003,0.9986 ± 0.0042,"{'max_depth': None, 'min_samples_split': 2}",
Dataset_5,KNN,0.9845 ± 0.0028,0.9608 ± 0.0285,"{'n_neighbors': 5, 'weights': 'distance'}",
Dataset_5,MLP,0.9920 ± 0.0039,0.9855 ± 0.0096,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}",
Dataset_5,RandomForest,0.9997 ± 0.0005,0.9997 ± 0.0005,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",
Dataset_5,SVM,0.9729 ± 0.0062,0.9597 ± 0.0100,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",
Dataset_6,DecisionTree,0.9999 ± 0.0003,0.9986 ± 0.0042,"{'max_depth': None, 'min_samples_split': 2}",
Dataset_6,KNN,0.9845 ± 0.0028,0.9608 ± 0.0285,"{'n_neighbors': 5, 'weights': 'distance'}",
Dataset_6,MLP,0.9898 ± 0.0047,0.9833 ± 0.0099,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}",
Dataset_6,RandomForest,0.9998 ± 0.0004,0.9998 ± 0.0004,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",
Dataset_6,SVM,0.9729 ± 0.0062,0.9597 ± 0.0100,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",
Dataset_7,DecisionTree,1.0000 ± 0.0000,1.0000 ± 0.0000,"{'max_depth': None, 'min_samples_split': 2}",
Dataset_7,KNN,0.9854 ± 0.0046,0.8424 ± 0.1230,"{'n_neighbors': 3, 'weights': 'distance'}",
Dataset_7,MLP,0.9918 ± 0.0032,0.9646 ± 0.0748,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}",
Dataset_7,RandomForest,0.9998 ± 0.0004,0.9998 ± 0.0004,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",
Dataset_7,SVM,0.9718 ± 0.0042,0.8630 ± 0.1211,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",
Dataset_8,DecisionTree,1.0000 ± 0.0000,1.0000 ± 0.0000,"{'max_depth': None, 'min_samples_split': 2}",
Dataset_8,KNN,0.9854 ± 0.0046,0.8424 ± 0.1230,"{'n_neighbors': 3, 'weights': 'distance'}",
Dataset_8,MLP,0.9917 ± 0.0034,0.9641 ± 0.0758,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}",
