Fold,SVM-Accuracy,SVM-F1,KNN-Accuracy,KNN-F1,DT-Accuracy,DT-F1,RF-Accuracy,RF-F1,MLP-Accuracy,MLP-F1,No. Selected Features,Features Name,FS/DS Parameters (SVM),FS/DS Parameters (KNN),FS/DS Parameters (DT),FS/DS Parameters (RF),FS/DS Parameters (MLP)
1,0.9677,0.9511,0.9771,0.9647,1.0000,1.0000,0.9990,0.9987,0.9802,0.9745,13,"F17, F10, F1, F13, F18, F11, F5, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
2,0.9781,0.7170,0.9833,0.7139,1.0000,1.0000,1.0000,1.0000,0.9937,0.9835,13,"F17, F10, F1, F13, F18, F11, F5, F14, F20, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
3,0.9771,0.8973,0.9896,0.7380,1.0000,1.0000,1.0000,1.0000,0.9958,0.9875,13,"F17, F10, F1, F13, F18, F11, F5, F14, F15, F20, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
4,0.9770,0.9625,0.9864,0.9718,1.0000,1.0000,1.0000,1.0000,0.9937,0.9904,13,"F17, F10, F1, F13, F18, F11, F5, F14, F15, F20, F12, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
5,0.9645,0.9454,0.9875,0.9765,1.0000,1.0000,1.0000,1.0000,0.9791,0.9677,13,"F17, F10, F1, F13, F18, F11, F5, F14, F20, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
6,0.9718,0.7136,0.9823,0.7201,1.0000,1.0000,1.0000,1.0000,0.9875,0.9808,13,"F17, F10, F1, F13, F18, F11, F5, F14, F20, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
7,0.9708,0.7071,0.9812,0.7149,1.0000,1.0000,1.0000,1.0000,0.9906,0.7302,13,"F17, F10, F1, F13, F18, F11, F5, F14, F15, F20, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
8,0.9635,0.9409,0.9843,0.9625,1.0000,1.0000,0.9990,0.9988,0.9937,0.9862,13,"F17, F10, F1, F13, F18, F11, F5, F14, F15, F20, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
9,0.9823,0.9764,0.9906,0.9882,1.0000,1.0000,1.0000,1.0000,0.9927,0.9907,13,"F17, F10, F1, F13, F18, F11, F5, F20, F14, F15, F12, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
10,0.9770,0.9748,0.9916,0.7362,1.0000,1.0000,1.0000,1.0000,0.9990,0.9989,13,"F17, F10, F1, F13, F18, F11, F5, F14, F15, F20, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
